2018-07-23 15:51:42 INFO  Cls1:15 - Sample info message
2018-07-23 15:51:42 WARN  Cls1:16 - Sample warn message
2018-07-23 15:51:42 ERROR Cls1:17 - Sample error message
2018-07-23 15:51:42 FATAL Cls1:18 - Sample fatal message
2018-07-23 15:53:51 INFO  Cls1:15 - Sample info message
2018-07-23 15:53:51 WARN  Cls1:16 - Sample warn message
2018-07-23 15:53:51 ERROR Cls1:17 - Sample error message
2018-07-23 15:53:51 FATAL Cls1:18 - Sample fatal message
2018-07-23 16:18:00 WARN  Cls1:31 - This is warn msg
2018-07-23 16:18:00 INFO  Cls1:32 - This is info msg
2018-07-23 16:18:00 DEBUG Cls1:33 - This is debug msg
2018-07-23 16:18:00 TRACE Cls1:34 - This is trace msg
2018-07-23 16:18:20 FATAL Cls1:28 - This is fatal msg
2018-07-23 16:18:20 ERROR Cls1:29 - This is error msg
2018-07-23 16:18:20 WARN  Cls1:31 - This is warn msg
2018-07-23 16:18:20 INFO  Cls1:32 - This is info msg
2018-07-23 16:18:20 DEBUG Cls1:33 - This is debug msg
2018-07-23 16:18:20 TRACE Cls1:34 - This is trace msg
2018-07-23 16:18:40 FATAL Cls1:28 - This is fatal msg
2018-07-23 16:18:40 ERROR Cls1:29 - This is error msg
2018-07-23 16:18:40 WARN  Cls1:31 - This is warn msg
2018-07-23 16:18:40 INFO  Cls1:32 - This is info msg
2018-07-23 16:18:40 DEBUG Cls1:33 - This is debug msg
2018-07-23 16:18:40 TRACE Cls1:34 - This is trace msg
2018-07-23 16:19:00 FATAL Cls1:28 - This is fatal msg
2018-07-23 16:19:00 ERROR Cls1:29 - This is error msg
2018-07-23 16:19:00 WARN  Cls1:31 - This is warn msg
2018-07-23 16:19:00 INFO  Cls1:32 - This is info msg
2018-07-23 16:19:00 DEBUG Cls1:33 - This is debug msg
2018-07-23 16:19:00 TRACE Cls1:34 - This is trace msg
2018-07-23 16:19:20 FATAL Cls1:28 - This is fatal msg
2018-07-23 16:19:20 ERROR Cls1:29 - This is error msg
2018-07-23 16:19:20 WARN  Cls1:31 - This is warn msg
2018-07-23 16:19:20 INFO  Cls1:32 - This is info msg
2018-07-23 16:19:20 DEBUG Cls1:33 - This is debug msg
2018-07-23 16:19:20 TRACE Cls1:34 - This is trace msg
2018-07-23 16:19:40 FATAL Cls1:28 - This is fatal msg
2018-07-23 16:19:40 ERROR Cls1:29 - This is error msg
2018-07-23 16:19:40 WARN  Cls1:31 - This is warn msg
2018-07-23 16:19:40 INFO  Cls1:32 - This is info msg
2018-07-23 16:19:40 DEBUG Cls1:33 - This is debug msg
2018-07-23 16:19:40 TRACE Cls1:34 - This is trace msg
2018-07-23 16:20:00 FATAL Cls1:28 - This is fatal msg
2018-07-23 16:20:00 ERROR Cls1:29 - This is error msg
2018-07-23 16:20:00 WARN  Cls1:31 - This is warn msg
2018-07-23 16:20:00 INFO  Cls1:32 - This is info msg
2018-07-23 16:20:00 DEBUG Cls1:33 - This is debug msg
2018-07-23 16:20:00 TRACE Cls1:34 - This is trace msg
2018-07-23 16:20:20 FATAL Cls1:28 - This is fatal msg
2018-07-23 16:20:20 ERROR Cls1:29 - This is error msg
2018-07-23 16:20:20 WARN  Cls1:31 - This is warn msg
2018-07-23 16:20:20 INFO  Cls1:32 - This is info msg
2018-07-23 16:20:20 DEBUG Cls1:33 - This is debug msg
2018-07-23 16:20:20 TRACE Cls1:34 - This is trace msg
